id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1267549568054579200,1267549568054579200,1591042341000,2020-06-01,20:12:21,GMT,1132976282008981506,john__tennant,John Tennant,,"Infrapenny Infrastructure  http://futurecities.org.uk/2020/05/31/infrapenny-infrastructure/ …

We absolutely need to be much more creative and innovative than we are now. Great article",[],['http://futurecities.org.uk/2020/05/31/infrapenny-infrastructure/'],[],1,0,7,[],[],https://twitter.com/John__Tennant/status/1267549568054579200,False,,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1264846266183430144,1264846266183430144,1590397824000,2020-05-25,09:10:24,GMT,1132976282008981506,john__tennant,John Tennant,,It was an honour to be elected alongside @TheBluetrot a year ago. There must be no extension of transition! https://twitter.com/BrexitWatch5/status/1264823228364619776 …,['thebluetrot'],['https://twitter.com/BrexitWatch5/status/1264823228364619776'],[],0,9,31,[],[],https://twitter.com/John__Tennant/status/1264846266183430144,False,https://twitter.com/BrexitWatch5/status/1264823228364619776,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}, {'user_id': '620893984', 'username': 'TheBluetrot'}]",,,,
1261937376688996352,1261937376688996352,1589704290000,2020-05-17,08:31:30,GMT,1132976282008981506,john__tennant,John Tennant,,Extending the transition could cost up to £380bn! My former colleague @math_patten writes. https://globalvisionuk.com/extending-the-transition-could-cost-up-to-380bn-new-report-finds/ …,['math_patten'],['https://globalvisionuk.com/extending-the-transition-could-cost-up-to-380bn-new-report-finds/'],[],0,1,0,[],[],https://twitter.com/John__Tennant/status/1261937376688996352,False,,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}, {'user_id': '1469190546', 'username': 'math_patten'}]",,,,
1261306282750902272,1261306282750902272,1589553826000,2020-05-15,14:43:46,GMT,1132976282008981506,john__tennant,John Tennant,,Some very salient points from @BrexitAlex https://twitter.com/BrexitAlex/status/1261265472693194753 …,['brexitalex'],['https://twitter.com/BrexitAlex/status/1261265472693194753'],[],0,0,0,[],[],https://twitter.com/John__Tennant/status/1261306282750902272,False,https://twitter.com/BrexitAlex/status/1261265472693194753,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}, {'user_id': '1123143752984477696', 'username': 'BrexitAlex'}]",,,,
1260938144511397888,1260938144511397888,1589466055000,2020-05-14,14:20:55,GMT,1132976282008981506,john__tennant,John Tennant,,Laughable! https://westmonster.com/eu-launches-legal-action-against-uk-for-breaching-free-movement-rules …,[],['https://westmonster.com/eu-launches-legal-action-against-uk-for-breaching-free-movement-rules'],[],10,33,144,[],[],https://twitter.com/John__Tennant/status/1260938144511397888,False,,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1255488772478812162,1255488772478812162,1588166823000,2020-04-29,13:27:03,GMT,1132976282008981506,john__tennant,John Tennant,,How the tables have turned.... https://twitter.com/DrAnnaBailey1/status/1255481698927730697 …,[],['https://twitter.com/DrAnnaBailey1/status/1255481698927730697'],[],0,1,10,[],[],https://twitter.com/John__Tennant/status/1255488772478812162,False,https://twitter.com/DrAnnaBailey1/status/1255481698927730697,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1251060694969135104,1251060694969135104,1587111087000,2020-04-17,08:11:27,GMT,1132976282008981506,john__tennant,John Tennant,,"Absolutely right, extending would not be in the public interest. It is written in law that we cannot extend beyond December 31st. https://twitter.com/DavidGHFrost/status/1250796638987333632 …",[],['https://twitter.com/DavidGHFrost/status/1250796638987333632'],[],2,2,8,[],[],https://twitter.com/John__Tennant/status/1251060694969135104,False,https://twitter.com/DavidGHFrost/status/1250796638987333632,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1250516342505160707,1250516342505160707,1586981304000,2020-04-15,20:08:24,GMT,1132976282008981506,john__tennant,John Tennant,,"Good to hear this..

“There is concern that extending could drag the UK into the arguments about who pays for the various EU schemes designed to protect the European economy and preserve the Eurozone.” https://twitter.com/SpecCoffeeHouse/status/1250385973181067266 …",[],['https://twitter.com/SpecCoffeeHouse/status/1250385973181067266'],[],1,1,3,[],[],https://twitter.com/John__Tennant/status/1250516342505160707,False,https://twitter.com/SpecCoffeeHouse/status/1250385973181067266,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1248158228342595585,1248158228342595585,1586419085000,2020-04-09,07:58:05,GMT,1132976282008981506,john__tennant,John Tennant,,"URGENT APPEAL: please help save Ponies cared for by Exmoor Pony Project as the coronavirus has stopped regular fundraising activities

A £2.00 donation will help ensure these beautiful animals are cared for until the lockdown is lifted, thank you https://www.justgiving.com/crowdfunding/exmoor-pony-project2019 …",[],['https://www.justgiving.com/crowdfunding/exmoor-pony-project2019'],[],1,3,5,[],[],https://twitter.com/John__Tennant/status/1248158228342595585,False,,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1247663801694064640,1247663801694064640,1586301205000,2020-04-07,23:13:25,GMT,1132976282008981506,john__tennant,John Tennant,,"EU Chief Scientist Resigns Over Coronavirus Response, No Longer Supports EU https://thenationalpulse.com/politics/eu-chief-scientist-resigns-coronavirus/ …",[],['https://thenationalpulse.com/politics/eu-chief-scientist-resigns-coronavirus/'],[],0,1,5,[],[],https://twitter.com/John__Tennant/status/1247663801694064640,False,,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1247243052349100032,1247243052349100032,1586200890000,2020-04-06,19:21:30,GMT,1132976282008981506,john__tennant,John Tennant,,"Awful news, this shows just how important it is we follow the advice given and my thoughts go out to everyone suffering. https://twitter.com/bbclaurak/status/1247240275791134720 …",[],['https://twitter.com/bbclaurak/status/1247240275791134720'],[],0,0,0,[],[],https://twitter.com/John__Tennant/status/1247243052349100032,False,https://twitter.com/bbclaurak/status/1247240275791134720,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1247191148961181697,1247191148961181697,1586188516000,2020-04-06,15:55:16,GMT,1132976282008981506,john__tennant,John Tennant,,The EU is disintegrating before our eyes. Let's embrace the Commonwealth instead  https://www.telegraph.co.uk/politics/2020/04/06/eu-disintegrating-eyes-embrace-commonwealth-instead/?WT.mc_id=tmg_share_tw … via @Telegraph,['telegraph'],['https://www.telegraph.co.uk/politics/2020/04/06/eu-disintegrating-eyes-embrace-commonwealth-instead/?WT.mc_id=tmg_share_tw'],[],0,2,9,[],[],https://twitter.com/John__Tennant/status/1247191148961181697,False,,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}, {'user_id': '16343974', 'username': 'Telegraph'}]",,,,
1244937286107660288,1244937286107660288,1585651153000,2020-03-31,10:39:13,GMT,1132976282008981506,john__tennant,John Tennant,,Some good points made by my former colleague Brian Monteith: Coronavirus is changing the way we live - but we still get to decide the future https://www.scotsman.com/news/opinion/columnists/brian-monteith-coronavirus-changing-way-we-live-we-still-get-decide-future-2521963 …,[],['https://www.scotsman.com/news/opinion/columnists/brian-monteith-coronavirus-changing-way-we-live-we-still-get-decide-future-2521963'],[],0,0,0,[],[],https://twitter.com/John__Tennant/status/1244937286107660288,False,,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1243519241862643717,1243519241862643717,1585313065000,2020-03-27,12:44:25,GMT,1132976282008981506,john__tennant,John Tennant,,"Wishing Boris Johnson well and a speedy recovery. To all those laughing and joking at this news, shame on you.",[],[],[],1,4,42,[],[],https://twitter.com/John__Tennant/status/1243519241862643717,False,,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
1226077988279726080,1226077988279726080,1581154746000,2020-02-08,09:39:06,GMT,1132976282008981506,john__tennant,John Tennant,,They know they're in trouble https://www.telegraph.co.uk/politics/2020/02/07/panicked-eu-goes-brexit-meltdown-britain-finally-has-upper-hand/?utm_content=telegraph&utm_medium=Social&utm_campaign=Echobox&utm_source=Facebook#Echobox=1581088345 …,[],['https://www.telegraph.co.uk/politics/2020/02/07/panicked-eu-goes-brexit-meltdown-britain-finally-has-upper-hand/?utm_content=telegraph&utm_medium=Social&utm_campaign=Echobox&utm_source=Facebook#Echobox=1581088345'],[],22,1,7,[],[],https://twitter.com/John__Tennant/status/1226077988279726080,False,,0,,,,,,,"[{'user_id': '1132976282008981506', 'username': 'John__Tennant'}]",,,,
